Sta    Lon       Lat       de(m)     dn(m)     du(m)    sde(m)   sdn(m)   sdu(m)
================================================================================
AOPR  -66.7541  18.3465  -0.00013   0.00984  -0.00487  0.00111  0.00109  0.00463 
CN05  -68.3594  18.5639   0.00055   0.00018  -0.00225  0.00093  0.00087  0.00349 
EMPR  -66.5295  18.4770  -0.00088   0.00106   0.00520  0.00168  0.00143  0.00737 
HUPR  -65.8386  18.1488   0.00325  -0.00446   0.01367  0.00112  0.00095  0.00428 
IGPR  -66.1068  17.9654  -0.00047  -0.00235   0.01541  0.00123  0.00107  0.00471 
P780  -66.5791  18.0750  -0.02248  -0.01047  -0.00941  0.00101  0.00087  0.00389 
PDPR  -66.0228  18.0195   0.00105  -0.00305  -0.00868  0.00118  0.00104  0.00461 
PRAR  -66.6474  18.4505   0.00013   0.00193   0.00084  0.00091  0.00083  0.00356 
PRFJ  -65.6514  18.3263   0.00247   0.00008   0.00524  0.00096  0.00090  0.00364 
PRHL  -66.1536  18.3800   0.00063  -0.00018   0.01110  0.00113  0.00100  0.00420 
PRJC  -66.9995  18.3422  -0.00143   0.01527  -0.00235  0.00150  0.00121  0.00550 
PRLP  -65.8683  18.1949   0.00491  -0.00132  -0.00073  0.00191  0.00159  0.00664 
PRLT  -67.1891  18.0598  -0.00276   0.00452  -0.03202  0.00099  0.00080  0.00349 
PRMI  -67.0454  17.9704  -0.00372   0.01080  -0.00697  0.00097  0.00086  0.00347 
PRN4  -66.3691  18.0786  -0.00407  -0.00662  -0.00821  0.00096  0.00086  0.00355 
PRSN  -67.1447  18.2171  -0.00536   0.00674  -0.01123  0.00159  0.00135  0.00676 
RDHI  -68.7183  18.5980   0.00129  -0.00008   0.00734  0.00095  0.00086  0.00345 
STVI  -64.9744  18.3401   0.00038  -0.00119   0.00316  0.00108  0.00099  0.00422 
ZSU4  -65.9935  18.4313  -0.00036  -0.00231  -0.00084  0.00097  0.00089  0.00366 
