code,latitude,longitude
AU.DPH,-12.466700,130.842300
AU.FITZ,-18.098200,125.640297
AU.KDU,-12.686900,132.472702
AU.KNRA,-15.676900,128.762802
AU.MTN,-12.843600,131.132706
GE.BKB,-1.107300,116.904800
GE.BNDI,-4.522400,129.904500
GE.FAKI,-2.919250,132.248890
GE.GENI,-2.592700,140.167800
GE.JAGI,-8.470200,114.152100
GE.LUWI,-1.041800,122.771700
GE.MMRI,-8.635700,122.237600
GE.PLAI,-8.827500,117.776500
GE.SANI,-2.049600,125.988100
GE.SAUI,-7.982600,131.298800
GE.SOEI,-9.755300,124.267200
GE.TNTI,0.771800,127.366700
GE.TOLI2,1.111190,120.781740
II.KAPI,-5.014200,119.751700
S1.AUDHS,-12.440000,130.832993
S1.AUNHS,-12.187400,136.783203
YS.TL01,-9.206800,124.364215
YS.TL02,-8.988400,125.208000
YS.TL03,-8.604300,125.557200
YS.TL04,-8.221300,125.606500
YS.TL05,-8.985300,125.659800
YS.TL06,-8.471800,126.457600
YS.TL07,-8.855800,126.362800
YS.TL08,-8.494700,126.990800
